feature,raw_observed_values,raw_coverage,post_ffill_observed_values,post_ffill_coverage,total_slots
bilirubin,1115,0.019698254540315173,7935,0.14018443926224294,56604
bun,4860,0.08585965656137376,28610,0.505441311568087,56604
creatinine,4872,0.08607165571337715,28617,0.505564977740089,56604
dbp,50994,0.9008903964384143,54062,0.9550915129672815,56604
glucose,12359,0.21834145996749346,38159,0.6741396367747863,56604
heart_rate,53219,0.9401985725390432,54455,0.9620344851953926,56604
hematocrit,5420,0.09575295032153204,29595,0.5228429086283655,56604
hemoglobin,4328,0.07646102748922337,26264,0.46399547735142394,56604
inr,3139,0.055455444844887285,19936,0.3522012578616352,56604
lactate,1310,0.023143240760370293,7891,0.1394071090382305,56604
mbp,51199,0.9045120486184722,54062,0.9550915129672815,56604
pco2,1689,0.02983888064447742,9011,0.1591936965585471,56604
ph,1874,0.03310720090452972,9871,0.1743869691187902,56604
platelets,4511,0.07969401455727511,27160,0.4798247473676772,56604
po2,1690,0.029856547240477704,9013,0.15922902975054767,56604
potassium,5487,0.09693661225355099,30248,0.53437919581655,56604
resp_rate,53030,0.9368595858949897,54449,0.9619284856193908,56604
sbp,51029,0.9015087272984241,54066,0.9551621793512826,56604
sodium,5306,0.09373895837749982,29704,0.5247685675923963,56604
spo2,52335,0.9245813016747934,54306,0.9594021623913505,56604
temperature_c,15664,0.27672955974842767,48950,0.8647798742138365,56604
wbc,4321,0.0763373613172214,26283,0.4643311426754293,56604
