accuracy,precision,recall,f1,auroc,aupr,model,input_hours,prediction_horizon_hours,split
0.405777166437414,0.0,0.0,0.0,0.21334716459197786,0.004183395848797973,rnn,12,4,cv_fold_1
0.5694635488308115,0.006389776357827476,0.5,0.012618296529968454,0.5871369294605808,0.011475412609492428,rnn,12,4,cv_fold_2
0.811554332874828,0.014598540145985401,0.5,0.028368794326241134,0.7890733056708161,0.017299703760883675,rnn,12,4,cv_fold_3
0.650137741046832,0.01171875,0.75,0.023076923076923078,0.7766620498614959,0.01549273651409026,rnn,12,4,cv_fold_4
0.6749311294765841,0.0,0.0,0.0,0.14577562326869808,0.003872034591946224,rnn,12,4,cv_fold_5
0.5632626846499679,0.005891016200294551,0.4444444444444444,0.011627906976744186,0.5175136376686764,0.009261757682851576,rnn,12,4,heldout_test
0.9325997248968363,0.0,0.0,0.0,0.5006915629322268,0.00745871250571026,lstm,12,4,cv_fold_1
0.951856946354883,0.0,0.0,0.0,0.4522821576763485,0.006744453176079754,lstm,12,4,cv_fold_2
0.8266850068775791,0.008064516129032258,0.25,0.015625,0.7451590594744122,0.014458393123168692,lstm,12,4,cv_fold_3
0.7066115702479339,0.004739336492890996,0.25,0.009302325581395349,0.6360803324099722,0.008942150841018338,lstm,12,4,cv_fold_4
0.4132231404958678,0.004694835680751174,0.5,0.009302325581395349,0.4920360110803324,0.010356734849309107,lstm,12,4,cv_fold_5
0.8766859344894027,0.0,0.0,0.0,0.267298306057996,0.004073571234598116,lstm,12,4,heldout_test
0.6753782668500687,0.00847457627118644,0.5,0.016666666666666666,0.6134163208852006,0.008615663552670011,cnn_transformer,12,4,cv_fold_1
0.5337001375515819,0.002967359050445104,0.25,0.005865102639296188,0.34405255878284924,0.004953766283696398,cnn_transformer,12,4,cv_fold_2
0.7840440165061898,0.012738853503184714,0.5,0.024844720496894408,0.7904564315352697,0.02907237121504648,cnn_transformer,12,4,cv_fold_3
0.4669421487603306,0.00516795865633075,0.5,0.010230179028132993,0.4567174515235457,0.00660470242402505,cnn_transformer,12,4,cv_fold_4
0.2369146005509642,0.0036101083032490976,0.5,0.007168458781362007,0.33898891966759004,0.0051018932265528396,cnn_transformer,12,4,cv_fold_5
0.8933847141939627,0.0,0.0,0.0,0.4961958082113121,0.005992111051914179,cnn_transformer,12,4,heldout_test
0.059147180192572216,0.005813953488372093,1.0,0.011560693641618497,0.6033886583679114,0.008624173906255132,lstm_transformer,12,4,cv_fold_1
0.9092159559834938,0.0,0.0,0.0,0.44986168741355465,0.006038401255877809,lstm_transformer,12,4,cv_fold_2
0.6437414030261348,0.007722007722007722,0.5,0.015209125475285171,0.6742738589211618,0.011709672796059355,lstm_transformer,12,4,cv_fold_3
0.39669421487603307,0.00904977375565611,1.0,0.017937219730941704,0.6274238227146814,0.008908097294865667,lstm_transformer,12,4,cv_fold_4
0.4972451790633609,0.005479452054794521,0.5,0.01084010840108401,0.449792243767313,0.005922144004988897,lstm_transformer,12,4,cv_fold_5
0.021836865767501604,0.00587467362924282,1.0,0.011680726800778715,0.469710020097617,0.00586644869537822,lstm_transformer,12,4,heldout_test
