accuracy,precision,recall,specificity,f1,balanced_accuracy,mcc,brier,auroc,aupr,horizon,model
0.9942,0.0,0.0,1.0,0.0,0.5,0,0.0058,0.5,0.0058,4,prior_baseline
0.9972,0.0,0.0,1.0,0.0,0.5,0,0.0028,0.5,0.0028,8,prior_baseline
